会う	会わ/あわ
言う	言わ/いわ
歌う	歌わ/うたわ
追う	追わ/おわ
行う	行わ/おこなわ
買う	買わ/かわ
戦う	戦わ/たたかわ
使う	使わ/つかわ
従う	従わ/したがわ
描く	描か/えがか
置く	置か/おか
書く	書か/かか
聞く	聞か/きか
築く	築か/きずか
働く	働か/はたらか
抜く	抜か/ぬか
焼く	焼か/やか
導く	導か/みちびか
落とす	落とさ/おとさ
起こす	起こさ/おこさ
残す	残さ/のこさ
許す	許さ/ゆるさ
勝つ	勝た/かた
保つ	保た/たもた
持つ	持た/もた
死ぬ	死な/しな
遊ぶ	遊ば/あそば
選ぶ	選ば/えらば
運ぶ	運ば/はこば
学ぶ	学ば/まなば
結ぶ	結ば/むずば
呼ぶ	呼ば/よば
組む	組ま/くま
楽しむ	楽しま/たのしま
取り組む	取り組ま/とりくま
進む	進ま/すすま
悩む	悩ま/なやま
飲む	飲ま/のま
読む	読ま/よま
移る	移ら/うつら
送る	送ら/おくら
踊る	踊ら/おどら
頑張る	頑張ら/がんばら
迫る	迫ら/せまら
握る	握ら/にぎら
乗る	乗ら/のら
入る	入ら/はいら
図る	図ら/はから
始まる	始まら/はじまら
戻る	戻ら/もどら
