考える	考えよ/かんがえよ
出る	出よ/でよ
受ける	受けよ/うけよ
教える	教えよ/おしえよ
食べる	食べよ/たべよ
生きる	生きよ/いきよ
会う	会お/あお
言う	言お/いお
歌う	歌お/うたお
行う	行お/おこなお
買う	買お/かお
戦う	戦お/たたかお
使う	使お/つかお
描く	描こ/えがこ
置く	置こ/おこ
書く	書こ/かこ
聞く	聞こ/きこ
築く	築こ/きずこ
働く	働こ/はたらこ
導く	道びこ/みちびこ
抜く	抜こ/抜こ
起こす	起こそ/おこそ
探す	探そ/さがそ
残す	残そ/のこそ
示す	示そ/しめそ
果たす	果たそ/はたそ
勝つ	勝と/かと
保つ	保と/たもと
持つ	持と/もと
死ぬ	死の/しの
遊ぶ	遊ぼ/あそぼ
選ぶ	選ぼ/えらぼ
飲む	飲も/のも
運ぶ	運ぼ/はこぼ
学ぶ	学ぼ/まなぼ
結ぶ	結ぼ/むずぼ
呼ぶ	呼ぼ/よぼ
楽しむ	楽しも/たのしも
取り組む	取り組も/とりくも
読む	読も/よも
移る	移ろ/うつろ
売る	売ろ/うろ
送る	送ろ/おくろ
頑張る	頑張ろ/がんばろ
探る	探ろ/さぐろ
知る	知ろ/しろ
迫る	迫ろ/せまろ
握る	握ろ/にぎろ
乗る	乗ろ/のろ				
図る	図ろ/はかろ
戻る	戻ろ/もどろ
