起きる	起きれ/おきれ
借りる	借りれ/かりれ
過ぎる	過ぎれ/すぎれ
負ける	負けれ/まけれ
変える	変えれ/かえれ
始める	始めれ/はじめれ
見せる	見せれ/みせれ
売れる	売れれ/うれれ
会う	会え/あえ
言う	言え/いえ
歌う	歌え/うたえ
追う	追え/おえ
行う	行え/おこなえ
買う	買え/かえ
従う	従え/したがえ
戦う	戦え/たたかえ
使う	使え/つかえ
描く	描け/えがけ
置く	置け/おけ
書く	書け/かけ
聞く	聞け/きけ
築く	築け/きずけ
働く	働け/はたらけ
輝く	輝け/かがやけ
泣く	泣け/なけ
勝つ	勝て/かて
保つ	保て/たもて
持つ	持て/もて
待つ	待て/まて
死ぬ	死ね/しね
遊ぶ	遊べ/あそべ
選ぶ	選べ/えらべ
運ぶ	運べ/はこべ
学ぶ	学べ/まなべ
結ぶ	結べ/むずべ
呼ぶ	呼べ/よべ
組む	組め/くめ
楽しむ	楽しめ/たのしめ
取り組む	取り組め/とりくめ
進む	進め/すすめ
望む	望め/のぞめ
飲む	飲め/のめ
読む	読め/よめ
移る	移れ/うつれ
売る	売れ/うれ
送る	送れ/おくれ
踊る	踊れ/おどれ
頑張る	頑張れ/がんばれ
探る	探れ/さぐれ
知る	知れ/しれ
迫る	迫れ/せまれ
握る	握れ/にぎれ
乗る	乗れ/のれ			
入る	入れ/はいれ
図る	図れ/はかれ
始まる	始まれ/はじまれ
戻る	戻れ/もどれ
