会う	会っ/あっ
言う	言っ/いっ
歌う	歌っ/うたっ
追う	追っ/おっ
行う	行っ/おこなっ
買う	買っ/かっ
従う	従っ/したがっ
戦う	戦っ/たたかっ
使う	使っ/つかっ
描く	描い/えがい
置く	置い/おい
書く	書い/かい
聞く	聞い/きい
築く	築い/きずい
働く	働い/はたらい
抜く	抜い/ぬい
貫く	貫い/つらぬい
導く	導い/みちびい
勝つ	勝っ/かっ
保つ	保っ/たもっ
持つ	持っ/もっ
待つ	待っ/まっ
死ぬ	死ん/しん
遊ぶ	遊ん/あそん
選ぶ	選ん/えらん
運ぶ	運ん/はこん
学ぶ	学ん/まなん
結ぶ	結ん/むずん
呼ぶ	呼ん/よん
組む	組ん/くん
楽しむ	楽しん/たのしん
取り組む	取り組ん/とりくん
住む	住ん/すん
進む	進ん/すすん
飲む	飲ん/のん
読む	読ん/よん
移る	移っ/うつっ
売る	売っ/うっ
送る	送っ/おくっ
踊る	踊っ/おどっ
頑張る	頑張っ/がんばっ
探る	探っ/さぐっ
知る	知っ/しっ
迫る	迫っ/せまっ
握る	握っ/にぎっ
乗る	乗っ/のっ	
入る	入っ/はいっ
図る	図っ/はかっ
始まる	始まっ/はじまっ
戻る	戻っ/もどっ
