会わ	会お/あお
言わ	言お/いお
歌わ	歌お/うたお
狙わ	狙お/ねらお
行わ	行お/おこなお
買わ	買お/かお
戦わ	戦お/たたかお
使わ	使お/つかお
描か	描こ/えがこ
置か	置こ/おこ
書か	書こ/かこ
聞か	聞こ/きこ
築か	築こ/きずこ
働か	働こ/はたらこ
導か	導こ/みちびこ
貫か	貫こ/つらぬこ	
抜か	抜こ/抜こ
落とさ	落とそ/おとそ
起こさ	起こそ/おこそ
隠さ	隠そ/かくそ
残さ	残そ/のこそ
探さ	探そ/さがそ
示さ	示そ/しめそ
勝た	勝と/かと
保た	保と/たもと
持た	持と/もと
待た	待と/まと
死な	死の/にの
遊ば	遊ぼ/あそぼ
選ば	選ぼ/えらぼ
運ば	運ぼ/はこぼ
学ば	学ぼ/まなぼ
結ば	結ぼ/むすぼ
呼ば	呼ぼ/よぼ
楽しま	楽しも/たのしも
持ち込ま	持ち込も/もちこも
取り組ま	取り組も/とりくも
進ま	進も/すすも
盗ま	盗も/ぬすも
飲ま	飲も/のも
読ま	読も/よも
移ら	移ろ/うつろ
送ら	送ろ/おくろ
頑張ら	頑張ろ/がんばろ
迫ら	迫ろ/せまろ
握ら	握ろ/にぎろ
乗ら	乗ろ/のろ
図ら	図ろ/はかろ
始まら	始まろ/はじまろ
戻ら	戻ろ/もどろ
