起きよ	起きれ/おきれ
借りよ	借りれ/かりれ
過ぎよ	過ぎれ/すぎれ
決めよ	決めれ/きめれ
変えよ	変えれ/かえれ
始めよ	始めれ/はじめれ
見せよ	見せれ/みせれ
抑えよ	抑えれ/おさえれ
会お	会え/あえ
言お	言え/いえ
歌お	歌え/うたえ
追お	追え/おえ
行お	行え/おこなえ
買お	買え/かえ
救お	救え/すくえ
戦お	戦え/たたかえ
使お	使え/つかえ
描こ	描け/えがけ
置こ	置け/おけ
書こ	書け/かけ
聞こ	聞け/きけ
築こ	築け/きずけ
働こ	働け/はたらけ
抜こ	抜け/ぬけ
泣こ	泣け/なけ
勝と	勝て/かて
保と	保て/たもて
持と	持て/もて
待と	待て/まて
死の	死ね/しね
遊ぼ	遊べ/あそべ
選ぼ	選べ/えらべ
運ぼ	運べ/はこべ
学ぼ	学べ/まなべ
結ぼ	結べ/むずべ
呼ぼ	呼べ/よべ
組も	組め/くめ
楽しも	楽しめ/たのしめ
取り組も	取り組め/とりくめ
進も	進め/すすめ
望も	望め/のぞめ
飲も	飲め/のめ
読も	読め/よめ
移ろ	移れ/うつれ
売ろ	売れ/うれ
送ろ	送れ/おくれ
踊ろ	踊れ/おどれ
頑張ろ	頑張れ/がんばれ
探ろ	探れ/さぐれ
知ろ	知れ/しれ
迫ろ	迫れ/せまれ
握ろ	握れ/にぎれ
乗ろ	乗れ/のれ			
入ろ	入れ/はいれ
図ろ	図れ/はかれ
始まろ	始まれ/はじまれ
戻ろ	戻れ/もどれ
