会え	会っ/あっ
言え	言っ/いっ
歌え	歌っ/うたっ
追え	追っ/おっ
行え	行っ/おこなっ
買え	買っ/かっ
従え	従っ/したがっ
戦え	戦っ/たたかっ
使え	使っ/つかっ
描け	描い/えがい
置け	置い/おい
書け	書い/かい
聞け	聞い/きい
築け	築い/きずい
働け	働い/はたらい
抜け	抜い/ぬい
貫け	貫い/つらぬい
導け	導い/みちびい
勝て	勝っ/かっ
保て	保っ/たもっ
持て	持っ/もっ
待て	待っ/まっ
死ね	死ん/しん
遊べ	遊ん/あそん
選べ	選ん/えらん
運べ	運ん/はこん
学べ	学ん/まなん
結べ	結ん/むずん
呼べ	呼ん/よん
組め	組ん/くん
楽しめ	楽しん/たのしん
取り組め	取り組ん/とりくん
住め	住ん/すん
進め	進ん/すすん
飲め	飲ん/のん
読め	読ん/よん
移れ	移っ/うつっ
売れ	売っ/うっ
送れ	送っ/おくっ
踊れ	踊っ/おどっ
頑張れ	頑張っ/がんばっ
探れ	探っ/さぐっ
知れ	知っ/しっ
迫れ	迫っ/せまっ
握れ	握っ/にぎっ
乗れ	乗っ/のっ	
入れ	入っ/はいっ
図れ	図っ/はかっ
始まれ	始まっ/はじまっ
戻れ	戻っ/もどっ
