良い	良く/よく
珍しい	珍しく/めずらしく
悲しい	悲しく/かなしく
無い	無く/なく
多い	多く/おおく
高い	高く/たかく
大きい	大きく/おおきく
強い	強く/つよく
悪い	悪く/わるく
少ない	少なく/すくなく
長い	長く/ながく
早い	早く/はやく
深い	深く/ふかく
若い	若く/わかく
うまい	うまく/旨い/上手く/美味く
すごい	すごく/凄く
小さい	小さく/ちいさく
楽しい	楽しく/たのしく
難しい	難しく/むずかしく
面白い	面白く/おもしろく
近い	近く/ちかく
低い	低く/ひくく
広い	広く/ひろく
美しい	美しく/うつくしく
欲しい	欲しく/ほしく
詳しい	詳しく/くわしく
厳しい	厳しく/はげしく
可愛い	可愛く/かわいく
安い	安く/やすく
古い	古く/ふるく
怖い	怖く/こわく
素晴らしい	素晴らしく/すばらしく
おかしい	おかしく/可笑しく
寒い	寒く/さむく
痛い	痛く/いたく
短い	短く/みじかく
遅い	遅く/おそく
弱い	弱く/よわく
速い	速く/はやく
正しい	正しく/ただしく
寂しい	寂しく/さびしく
暑い	暑く/あつく
狭い	狭く/せまく
まずい	まずく/不味く
惜しい	惜しく/おしく
詳しい	詳しく/くわしく
軽い	軽く/かるく
重い	重く/おもく
悔しい	悔しく/くやしく
懐かしい	懐かしく/なつかしく
