良い	良かっ/よかっ
珍しい	珍しかっ/めずらしかっ
悲しい	悲しかっ/かなしかっ
無い	無かっ/なかっ
多い	多かっ/おおかっ
高い	高かっ/たかかっ
大きい	大きかっ/おおきかっ
強い	強かっ/つよかっ
悪い	悪かっ/わるかっ
少ない	少なかっ/すくなかっ
長い	長かっ/ながかっ
早い	早かっ/はやかっ
深い	深かっ/ふかかっ
若い	若かっ/わかかっ
うまい	うまかっ/旨かっ/上手かっ/美味かっ
すごい	すごかっ/凄かっ
小さい	小さかっ/ちいさかっ
楽しい	楽しかっ/たのしかっ
難しい	難しかっ/むずかしかっ
面白い	面白かっ/おもしろかっ
近い	近かっ/ちかかっ
低い	低かっ/ひくかっ
広い	広かっ/ひろかっ
美しい	美しかっ/うつくしかっ
欲しい	欲しかっ/ほしかっ
細かい	細かっ/こまかっ
厳しい	厳しかっ/きびしかっ
可愛い	可愛かっ/かわいかっ
安い	安かっ/やすかっ
薄い	薄かっ/うすかっ
怖い	怖かっ/こわかっ
素晴らしい	素晴らしかっ/すばらしかっ
おかしい	おかしかっ/可笑しかっ
寒い	寒かっ/さむかっ
痛い	痛かっ/いたかっ
短い	短かっ/みじかかっ
遅い	遅かっ/おそかっ
弱い	弱かっ/よわかっ
速い	速かっ/はやかっ
正しい	正しかっ/ただしかっ
寂しい	寂しかっ/きびしかっ
暑い	暑かっ/あつかっ
狭い	狭かっ/せまかっ
まずい	まずかっ/不味かっ
惜しい	惜しかっ/おしかっ
詳しい	詳しかっ/くわしかっ
軽い	軽かっ/かるかっ
重い	重かっ/おもかっ
悔しい	悔しかっ/くやしかっ
遠い	遠かっ/とおかっ
