良く	良かっ/よかっ
珍しく	珍しかっ/めずらしかっ
悲しく	悲しかっ/かなしかっ
無く	無かっ/なかっ
多く	多かっ/おおかっ
高く	高かっ/たかかっ
大きく	大きかっ/おおきかっ
強く	強かっ/つよかっ
悪く	悪かっ/わるかっ
少なく	少なかっ/すくなかっ
長く	長かっ/ながかっ
早く	早かっ/はやかっ
深く	深かっ/ふかかっ
若く	若かっ/わかかっ
うまく	うまかっ/上手かっ/美味かっ/旨かっ
すごく	すごかっ/凄かっ
小さく	小さかっ/ちいさかっ
楽しく	楽しかっ/たのしかっ
難しく	難しかっ/むずかしかっ
面白く	面白かっ/おもしろかっ
近く	近かっ/ちかかっ
低く	低かっ/ひくかっ
広く	広かっ/ひろかっ
美しく	美しかっ/うつくしかっ
欲しく	欲しかっ/ほしかっ
細かく	細かっ/こまかかっ
厳しく	厳しかっ/はげしかっ
可愛く	可愛かっ/かわいかっ
安く	安かっ/やすかっ
古く	古かっ/ふるかっ
怖く	怖かっ/こわかっ
素晴らしく	素晴らしかっ/すばらしかっ
おかしく	おかしかっ/おかしかっ
寒く	寒かっ/さむかっ
痛く	痛かっ/いたかっ
短く	短かっ/みじかかっ
遅く	遅かっ/おそかっ
弱く	弱かっ/よわかっ
速く	速かっ/はやかっ
正しく	正しかっ/ただしかっ
寂しく	寂しかっ/さびしかっ
暑く	暑かっ/あつかっ
狭く	狭かっ/せまかっ
まずく	まずかっ/不味かっ
惜しく	惜しかっ/おしかっ
詳しく	詳しかっ/くわしかっ
軽く	軽かっ/かるかっ
重く	重かっ/おもかっ
悔しく	悔しかっ/おしかっ
遠く	遠かっ/とおかっ
