活性	活性化/かっせいか
強	強化/きょうか
高齢	高齢化/こうれいか
進	進化/しんか
悪	悪化/あっか
少子	少子化/しょうしか
近代	近代化/きんだいか
国際	国際化/こくさいか
高度	高度化/こうどか
民営	民営化/みんえいか
効率	効率化/こうりつか
自由	自由化/じゆうか
情報	情報化/じょうほうか
適正	適正化/てきせいか
民主	民主化/みんしゅか
実用	実用化/じつようか
グローバル	グローバル化/グローバルか
工業	工業化/こうぎょうか
温暖	温暖化/おんだんか
都市	都市化/としか
円滑	円滑化/えんかつか
組織	組織化/そしきか
標準	標準化/ひょうじゅんか
明確	明確化/めいかくか
空洞	空洞化/くうどうか
機械	機械化/きかいか
具体	具体化/ぐたいか
自動	自動化/じどうか
安定	安定化/あんていか
差別	差別化/さべつか
軽量	軽量化/けいりょうか
映画	映画化/えいがか
デジタル	デジタル化/デジタルか
健全	健全化/けんぜんか
法制	法制化/ほうせいか
長期	長期化/ちょうきか
社会	社会化/しゃかいか
事業	事業化/じぎょうか
活発	活発化/かっぱつか
大型	大型化/おおがたか
商品	商品化/しょうひんか
深刻	深刻化/しんこくか
過疎	過疎化/かそか
制度	制度化/せいどか
証券	証券化/しょうけんか
円滑	円滑化/えんかつか
電子	電子化/でんしか
有料	有料化/ゆうりょうか
単純	単純化/たんじゅんか
広域	広域化/こういきか
