良い	良さ/よさ
よい	よさ/良さ
多い	多さ/おおさ
高い	高さ/たかさ
大きい	大きさ/おおきさ
強い	強さ/つよさ
悪い	悪さ/わるさ
少ない	少なさ/すくなさ
長い	長さ/ながさ
早い	早さ/はやさ
新しい	新しさ/あたらしさ
深い	深さ/ふかさ
若い	若さ/わかさ
うまい	うまさ/旨さ
濃い	濃さ/こさ
すごい	すごさ/凄さ
小さい	小ささ/ちいささ
楽しい	楽しさ/たのしさ
難しい	難しさ/むずかしさ
正しい	正しさ/ただしさ
面白い	面白さ/おもしろさ
近い	近さ/ちかさ
低い	低さ/ひくさ
鋭い	鋭さ/するどさ
広い	広さ/ひろさ
美しい	美しさ/うつくしさ
欲しい	欲しさ/ほっしさ
冷たい	冷たさ/つめたさ
重い	重さ/おもさ
厳しい	厳しさ/きびしさ
可愛い	可愛さ/かわいさ
かわいい	かわいさ/可愛さ
優しい	優しさ/やさしさ
恥ずかしい	恥ずかしさ/はずかしさ
ひどい	ひどさ/酷さ
安い	安さ/やすさ
古い	古さ/ふるさ
怖い	怖さ/こわさ
明るい	明るさ/あかるさ
辛い	辛さ/つらさ
素晴らしい	素晴らしさ/すばらしさ
おかしい	おかしさ/可笑しさ
寒い	寒さ/さむさ
痛い	痛さ/いたさ
短い	短さ/みじかさ
遅い	遅さ/おそさ
固い	固さ/かたさ
弱い	弱さ/よわさ
白い	白さ/しろさ
貧しい	貧しさ/まずしさ
