高齢	高齢者/こうれいしゃ
消費	消費者/しょうひしゃ
労働	労働者/ろうどうしゃ
被害	被害者/ひがいしゃ
出品	出品者/しゅっぴんもの
保護	保護者/ほごしゃ
利用	利用者/りようしゃ
関係	関係者/かんけいしゃ
経営	経営者/けいえいしゃ
筆	筆者/ひっしゃ
落札	落札者/らくさつもの
研究	研究者/けんきゅうしゃ
死	死者/ししゃ
著	著者/ちょしゃ
初心	初心者/しょしんしゃ
指導	指導者/しどうしゃ
参加	参加者/さんかしゃ
事業	事業者/じぎょうしゃ
障害	障害者/しょうがいしゃ
対象	対象者/たいしょうしゃ
債権	債権者/さいけんしゃ
債務	債務者/さいむしゃ
担当	担当者/たんとうしゃ
使用	使用者/しようしゃ
責任	責任者/せきにんしゃ
生産	生産者/せいさんしゃ
犯罪	犯罪者/はんざいしゃ
容疑	容疑者/ようぎしゃ
質問	質問者/しつもんしゃ
編集	編集者/へんしゅうしゃ
管理	管理者/かんりしゃ
技術	技術者/ぎじゅつしゃ
出演	出演者/しゅつえんしゃ
犠牲	犠牲者/ぎせいしゃ
代表	代表者/だいひょうしゃ
回答	回答者/かいとうしゃ
旅行	旅行者/りょこうしゃ
候補	候補者/こうほしゃ
加入	加入者/かにゅうしゃ
経験	経験者/けいけんしゃ
希望	希望者/きぼうしゃ
支配	支配者/しはいしゃ
運転	運転者/うんてんしゃ
支配	支配者/しはいしゃ
失業	失業者/しつぎょうしゃ
支配	支配者/しはいしゃ
負傷	負傷者/ふしょうしゃ
運転	運転者/うんてんしゃ
歩行	歩行者/ほこうしゃ
保険	保険者/ほけんしゃ
