委員	委員会/いいんかい
講演	講演会/こうえんかい
運動	運動会/うんどうかい
審議	審議会/しんぎかい
理事	理事会/りじかい
研究	研究会/けんきゅうかい
説明	説明会/せつめいかい
講習	講習会/こうしゅうかい
映画	映画会/えいがかい
懇談	懇談会/こんだんかい
自治	自治会/じちかい
協議	協議会/きょうぎかい
発表	発表会/はっぴょうかい
展示	展示会/てんじかい
演奏	演奏会/えんそうかい
勉強	勉強会/べんきょうかい
審査	審査会/しんさかい
研修	研修会/けんしゅうかい
交流	交流会/こうりゅうかい
クリスマス	クリスマス会/クリスマスかい
茶	茶会/ちゃかい
検討	検討会/けんとうかい
舞踏	舞踏会/ぶとうかい
生徒	生徒会/せいとかい
食事	食事会/しょくじかい
役員	役員会/やくいんかい
調査	調査会/ちょうさかい
サイン	サイン会/サインかい
後援	後援会/こうえんかい
競技	競技会/きょうぎかい
学習	学習会/がくしゅうかい
医師	医師会/いしかい
討論	討論会/とうろんかい
連合	連合会/れんごうかい
新年	新年会/しんねんかい
歓迎	歓迎会/かんげいかい
観察	観察会/かんさつかい
教授	教授会/きょうじゅかい
上映	上映会/じょうえいかい
市議	市議会/しぎかい
クラス	クラス会/クラスかい
幹事	幹事会/かんじかい
反省	反省会/はんせいかい
婦人	婦人会/ふじんかい
相談	相談会/そうだんかい
読書	読書会/どくしょかい
握手	握手会/あくしゅかい
連絡	連絡会/れんらくかい
撮影	撮影会/さつえいかい
誕生	誕生会/たんじょうかい
