存在	存在感/そんざいかん
緊張	緊張感/きんちょうかん
危機	危機感/ききかん
食	食感/しょくかん
同	同感/どうかん
不信	不信感/ふしんかん
不快	不快感/ふかいかん
不安	不安感/ふあんかん
責任	責任感/せきにんかん
安定	安定感/あんていかん
透明	透明感/とうめいかん
嫌悪	嫌悪感/けんおかん
充実	充実感/じゅうじつかん
恐怖	恐怖感/きょうふかん
信頼	信頼感/しんらいかん
使命	使命感/しめいかん
達成	達成感/たっせいかん
期待	期待感/きたいかん
抵抗	抵抗感/ていこうかん
距離	距離感/きょりかん
孤独	孤独感/こどくかん
霊	霊感/れいかん
解放	解放感/かいほうかん
清潔	清潔感/せいけつかん
立体	立体感/りったいかん
季節	季節感/きせつかん
幸福	幸福感/こうふくかん
連帯	連帯感/れんたいかん
疲労	疲労感/ひろうかん
情	情感/じょうかん
圧迫	圧迫感/あっぱくかん
安堵	安堵感/あんどかん
開放	開放感/かいほうかん
スピード	スピード感/スピードかん
絶望	絶望感/ぜつぼうかん
使用	使用感/しようかん
重量	重量感/じゅうりょうかん
ボリューム	ボリューム感/ボリュームかん
満腹	満腹感/まんぷくかん
義務	義務感/ぎむかん
空腹	空腹感/くうふくかん
統一	統一感/とういつかん
焦燥	焦燥感/しょうそうかん
読後	読後感/どくごかん
負担	負担感/ふたんかん
生活	生活感/せいかつかん
孤立	孤立感/こりつかん
景況	景況感/けいきょうかん
光沢	光沢感/こうたくかん
割安	割安感/わりやすかん
