可能	可能性/かのうせい
必要	必要性/ひつようせい
重要	重要性/じゅうようせい
安全	安全性/あんぜんせい
危険	危険性/きけんせい
生産	生産性/せいさんせい
方向	方向性/ほうこうせい
信頼	信頼性/しんらいせい
多様	多様性/たようせい
有効	有効性/ゆうこうせい
安定	安定性/あんていせい
利便	利便性/りべんせい
特殊	特殊性/とくしゅせい
創造	創造性/そうぞうせい
透明	透明性/とうめいせい
毒	毒性/どくせい
社会	社会性/しゃかいせい
関連	関連性/かんれんせい
効率	効率性/こうりつせい
実効	実効性/じっこうせい
主体	主体性/しゅたいせい
経済	経済性/けいざいせい
関係	関係性/かんけいせい
専門	専門性/せんもんせい
妥当	妥当性/だとうせい
収益	収益性/しゅうえきせい
酸	酸性/さんせい
公共	公共性/こうきょうせい
必然	必然性/ひつぜんせい
独自	独自性/どくじせい
優位	優位性/ゆういせい
違法	違法性/いほうせい
独立	独立性/どくりつせい
弾力	弾力性/だんりょくせい
将来	将来性/しょうらいせい
同一	同一性/どういつせい
連続	連続性/れんぞくせい
共通	共通性/きょうつうせい
国民	国民性/こくみんせい
機能	機能性/きのうせい
健全	健全性/けんぜんせい
実用	実用性/じつようせい
公平	公平性/こうへいせい
緊急	緊急性/きんきゅうせい
精神	精神性/せいしんせい
統一	統一性/とういつせい
地域	地域性/ちいきせい
現実	現実性/げんじつせい
確実	確実性/かくじつせい
協調	協調性/きょうちょうせい
継続	継続性/けいぞくせい
計画	計画性/けいかくせい
