影響	影響力/えいきょうりょく
労働	労働力/ろうどうりょく
極	極力/きょくりょく
説得	説得力/せっとくりょく
重	重力/じゅうりょく
集中	集中力/しゅうちゅうりょく
軍事	軍事力/ぐんじりょく
原子	原子力/げんしりょく
競争	競争力/きょうそうりょく
経済	経済力/けいざいりょく
原子	原子力/げんしりょく
生命	生命力/せいめいりょく
技術	技術力/ぎじゅつりょく
抵抗	抵抗力/ていこうりょく
記憶	記憶力/きおくりょく
判断	判断力/はんだんりょく
魔	魔力/まりょく
免疫	免疫力/めんえきりょく
行動	行動力/こうどうりょく
生産	生産力/せいさんりょく
筋	筋力/きんりょく
指導	指導力/しどうりょく
防衛	防衛力/ぼうえいちから
精神	精神力/せいしんりょく
表現	表現力/ひょうげんりょく
推進	推進力/すいしんりょく
攻撃	攻撃力/こうげきりょく
英語	英語力/えいごりょく
創造	創造力/そうぞうりょく
洞察	洞察力/どうさつりょく
精	精力/せいりょく
拘束	拘束力/こうそくりょく
決断	決断力/けつだんちから
思考	思考力/しこうりょく
理解	理解力/りかいりょく
破壊	破壊力/はかいりょく
注意	注意力/ちゅういりょく
強制	強制力/きょうせいりょく
忍耐	忍耐力/にんたいりょく
支配	支配力/しはいりょく
馬	馬力/ばりき
知	知力/ちりょく
実行	実行力/じっこうりょく
抑止	抑止力/よくしちから
演技	演技力/えんぎりょく
語学	語学力/ごがくりょく
政治	政治力/せいじりょく
発言	発言力/はつげんりょく
信用	信用力/しんようちから
収益	収益力/しゅうえきちから
