確実性	不確実性/ふかくじつせい
人気	不人気/ふにんき
平等	不平等/ふびょうどう	
健康	不健康/ふけんこう
充分	不充分/ふじゅうぶん
公平	不公平/ふこうへい
参加	不参加/ふさんか
可能	不可能/ふかのう
安定	不安定/ふあんてい
手際	不手際/ふてぎわ
完全	不完全/ふかんぜん
器用	不器用/ぶきよう
愉快	不愉快/ふゆかい
払い	不払い/ふばらい
信任	不信任/ふしんにん
承認	不承認/ふしょうにん
機嫌	不機嫌/ふきげん
正確	不正確/ふせいかく
注意	不注意/ふちゅうい
健全	不健全/ふけんぜん
満足	不満足/ふまんぞく
干渉	不干渉/ふかんしょう
謹慎	不謹慎/ふきんしん
注意	不注意/ふちゅうい
自然	不自然/ふしぜん
自由	不自由/ふじゆう
規則	不規則/ふきそく
得意	不得意/ふとくい
明瞭	不明瞭/ふめいりょう
透明	不透明/ふとうめい
適切	不適切/ふてきせつ
利益	不利益/ふりえき
確か	不確か/ふたしか
景気	不景気/ふけいき
誠実	不誠実/ふせいじつ
定期	不定期/ふていき
成立	不成立/ふせいりつ
具合	不具合/ふぐあい
鮮明	不鮮明/ふせんめい
確実	不確実/ふかくじつ
快感	不快感/ふかいかん
都合	不都合/ふつごう
死	不死/ふし
敵	不敵/ふてき
良	不良/ふりょう
用	不用/ふよう
利	不利/ふり
運	不運/ふうん
況	不況/ふきょう
眠	不眠/ふみん
