好き	大好き/だいすき
幅	大幅/おおはば
部分	大部分/だいぶぶん
規模	大規模/だいきぼ
企業	大企業/だいきぎょう
学生	大学生/だいがくせい
都市	大都市/だいとし
型	大型/おおがた
騒ぎ	大騒ぎ/おおさわぎ
人達	大人達/おとなたち
軍	大軍/たいぐん
喜び	大喜び/おおよろこび
差	大差/たいさ
層	大層/たいそう
問題	大問題/だいもんだい
成功	大成功/だいせいこう
活躍	大活躍/だいかつやく
前提	大前提/だいぜんてい
歓迎	大歓迎/だいかんげい
粒	大粒/おおつぶ
綱	大綱/たいこう
群	大群/たいぐん
脳	大脳/だいのう
盛り	大盛り/おおもり
混乱	大混乱/だいこんらん
聖堂	大聖堂/だいせいどう
事件	大事件/だいじけん
腸	大腸/だいちょう
ヒット	大ヒット/だいひっと
怪我	大怪我/おおけが
洪水	大洪水/だいこうずい
輪	大輪/たいりん
筋	大筋/おおすじ
家族	大家族/だいかぞく
リーグ	大リーグ/だいリーグ
笑い	大笑い/おおわらい
波	大波/おおなみ
ファン	大ファン/だいふぁん
容量	大容量/だいようりょう
間違い	大間違い/おおまちがい
合唱	大合唱/だいがっしょう
失敗	大失敗/だいしっぱい
仕事	大仕事/おおしごと
恐慌	大恐慌/だいきょうこう
先輩	大先輩/だいせんぱい
災害	大災害/だいさいがい
動脈	大動脈/だいどうみゃく
震災	大震災/だいしんさい
事	大事/だいじ
雨	大雨/おおあめ
