起きる	起こす/おこす
落ちる	落とす/おとす
倒れる	倒す/たおす
汚れる	汚す/よごす
壊れる	壊す/こわす
現れる	現す/あらわす
表れる	表す/あらわす
治る	治す/なおす
回る	回す/まわす
返る	返す/かえす
帰る	帰す/かえす
変わる	変える/かえる
代わる	代える/かえる
替わる	替える/かえる
破れる	破る/やぶる
切れる	切る/きる
折れる	折る/おる
割れる	割る/わる
進む	進める/すすめる
縮む	縮まる/ちぢまる
集まる	集める/あつめる
決まる	決める/きめる
始まる	始める/はじめる
閉まる	閉める/しめる
温まる	温める/あたためる
終わる	終える/おえる
当たる	当てる/あてる
見つかる	見つける/みつける
開く	開ける/ひらける
付く	付ける/つける
届く	届ける/とどける
立つ	立てる/たてる
乗る	乗せる/のせる
取れる	取る/とる
見える	見る/みる
聞こえる	聞く/きく
消える	消す/けす
出る	出す/だす
生きる	活かす/いかす
燃える	燃やす/もやす
溶ける	溶かす/とかす
増える	増やす/ふやす
冷える	冷やす/ひやす
入る	入れる/いれる
焼ける	焼く/やく
沸く	沸かす/わかす
浮く	浮かぶ/うかぶ
向く	向かう/むかう
下りる	下ろす/くだろす
広がる	広まる/ひろまる
