ワシントン	アメリカ/米国/べいこく
ロンドン	イギリス/英国/えいこく
エルサレム	イスラエル/以色列/伊色剌
ローマ	イタリア/伊太利亜/伊太利
バグダード	イラク/伊拉久
ジャカルタ	インドネシア/印度尼西亜
キャンベラ	オーストラリア/濠太剌利
東京	日本/にっぽん/にほん
北京	中国/ちゅうごく
パリ	フランス/仏蘭西/仏国
ハノイ	ベトナム/越南
ソウル	韓国/かんこく
モスクワ	ロシア/露西亜/ロシア連邦
ベルリン	ドイツ/独国
オタワ	カナダ/加奈陀
ブラジリア	ブラジル/伯剌西爾
アムステルダム	オランダ/阿蘭陀
バルセロナ	スペイン/西班牙
マニラ	フィリピン/比律賓/菲律賓
カイロ	エジプト/埃及/阨入多
ブダペスト	ハンガリー/洪牙利
コペンハーゲン	デンマーク/丁抹
テヘラン	イラン/伊蘭/義蘭/以蘭
ベルン	スイス/瑞西/瑞士
シンガポール	シンガポール/新嘉坡
メキシコシティ	メキシコ/墨西哥
ストックホルム	スウェーデン/瑞典
アンカラ	トルコ/土耳古
ワルシャワ	ポーランド/波蘭
ウェリントン	ニュージーランド/新西蘭/新西伊蘭土
ブリュッセル	ベルギー/白耳義
アテネ	ギリシャ/ギリシア/希臘
イスラマバード	パキスタン/巴基斯坦
クアラルンプール	マレーシア/馬来西亜
ブエノスアイレス	アルゼンチン/亜爾然丁/亜尓然丁
ウランバートル	モンゴル/莫臥児/蒙古
ダブリン	アイルランド/愛蘭/愛倫/愛蘭土
プノンペン	カンボジア/柬埔寨/柬蒲塞
バンコク	タイ/タイ王国/タイおうこく/泰/泰国
ザグレブ	クロアチア/克羅地亜
ヘルシンキ	フィンランド/芬蘭/芬蘭土
エディンバラ	スコットランド
リマ	ペルー/秘露/秘魯/白路
オスロ	ノルウェー/諾威/那威/能留英
ソフィア	ブルガリア/勃牙利
カトマンズ	ネパール/泥婆羅/涅巴爾
ダッカ	バングラデシュ/孟加拉国
ラバト	モロッコ/摩洛哥
ブカレスト	ルーマニア/羅馬尼亜/羅馬尼
ナイロビ	ケニア/肯尼亜
