なさる	いたす/致す
おっしゃる	申し上げる/もうしあげる
いらっしゃる	参る/まいる/おる
おいでになる	伺う/うかがう/うかがう
お聞きになる	拝聴する/はいちょうする
ご覧になる	拝見する/はいけんする
お読みになる	拝読する/はいどくする
お越しになる	参る/まいる
ご存知	存じ上げる/ぞんじあげる
召し上がる	いただく/頂戴する/ちょうだいする/ちょうだい/頂く
お掛けになる	お座りする/おすわりする
お会いになる	お目にかかる/おめにかかる
お伝えになる	申し伝える/もうしつたえる
おわかりになる	承知する/しょうちする
お読みになる	拝読する/はいどくする
くださる	いただく/頂戴する/ちょうだいする
お受け取りになる	賜る/たまわる/頂戴する/ちょうだいする/拝受する/はいじゅする
ご利用になる	ご利用する/ごりようする/ご利用させていただく/ごりようさせていただく
おぼし召す	存じ上げる/ぞんじあげる/拝察する/はいさつする
お求めになる	ご購入する/ごこうにゅうする/買わせていただく/かわせていただく
お考えになる	考えておる/かんがえておる/拝察する/はいさつする
お待ちになる	お待ちする/おまちする
お帰りになる	帰らせていただく/かえらせていただく
お心遣い	微意/びい
お気持ち	気持ち/きもち
ご理解	承知
ご厚情	微意/びい
御芳情	気持ち/きもち
貴宅 	拙宅/せったく
貴社	弊社/へいしゃ
貴紙	弊紙/へいし
貴殿	私/わたし/当方/とうほう
佳品	粗品/そしな/寸志/すんし/粗菓/そか
お住い	自宅/じたく
ご自宅	自宅/じたく
お仕事	仕事/しごと
お水	水/みず
お店	店/みせ
お食事	食事/しょくじ
ご職業	職業/しょくぎょう
ご住所	住所/じゅうしょ
ご確認	確認/かくにん
ご連絡	連絡/れんらく
ご説明	説明/せつめい
ご兄弟	兄弟/きょうだい
お母さん	母/はは
お父さん	父/ちち
おばあさん	祖母/そぼ
おじいさん	祖父/そふ
ご主人	夫/おっと
奥さん	家内/かない
