アカデミア	大学/だいがく/大学院/だいがくいん/カレッジ/学院/がくいん
アパート	部屋/へや/寝室/しんしつ/浴室/よくしつ/バスルーム/キッチン/台所/だいどころ/キチネット/お手洗い/おてあらい/トイレ/シャワールーム
鳥	羽/はね/大羽/だいはね/嘴/くちばし/くちばし/爪翼/つめつばさ/羽枝/はねえだ/羽軸/はねじく/足/あし
バス	シート/席/せき/ドア/窓/まど/運転手/うんてんしゅ/ルーフ/座席/ざせき
バイト	ビット
車	エンジン/アームレスト/ヘッドレスト/スタビライザー/シート/窓/まど/排気/はいき/バック/ペダル/カウリング/シートベルト/ガソリン/サイドミラー/バンパー/タイヤ−/ボンネット/ルーフ/トランクカバー/フロントドア/フロントドア/フロント_ドア/フロント_ドア/リアドア/リアドア/リア_ドア/リア_ドア/フェンダ
城	中庭/なかにわ/壁/かべ/城壁/じょうへき/本丸/ほんまる/二の丸/にのまる/二_の_丸/に_の_まる/三の丸/さんのまる/三_の_丸/さん_の_まる/塔/とう/門/もん/地下牢/ちかろう/地下ろう/廊下/ろうか
猫	爪/つめ/手/て/足/あし/尻尾/しっぽ/目/め/背中/せなか/毛/け/歯/は/ひげ
椅子	シート/アームレスト/肘掛け/ひじかけけ/ヘッドレスト/脚/あし/背もたれ/せもたれ
神社	鳥居/とりい/参道/さんどう/手水舎/てみずしゃ/灯籠/ともしびかご/神楽殿/かぐらどの/絵馬/えま/狛犬/こまいぬ/拝殿/はいどの/本殿/ほんでん/玉垣/たまかき
寺	門/もん/本殿/ほんでん/五重塔/ごじゅうとう
日	朝/あさ/昼/ひる/朝日/あさひ/日開け/にちひらけ/夜明け/よあけ/昼間/ひるま/夜/よる/分/ふん/秒/びょう/時/とき/時間/じかん/深夜/しんや/太陽/たいよう/月/がつ
花	花びら/はなびら/心皮/しんぴ/雄ずい/おすずい/雄しべ/おすしべ/雄蘂/おしべ/雄蕊/雌蘂/しずい/花被/かひ/子房/しぼう/花葉/はなは
ドア	取っ手/とって/キーホール/フレーム/ロック/オートロック
ギガバイト	メガバイト/キロバイト/バイト
刀	鞘/さや/剃り刃/そりは/物打/ものだ/刃/は/柄/がら/鍔/つば/下げ緒/さげお
パソコン	キーボード/マウス/画面/がめん/液晶画面/えきしょうがめん/メモリ/USB/ケーブル/充電器/じゅうでんき/バッテリー
電話	マウスピース/受話器/じゅわき/画面/がめん
魚	フィン/骨/ほね/フィッシュボーン/側線/そくせん/鱗/うろこ/鰓/えら
ホテル	受付/うけつけ/部屋/へや/ルーム/食堂/しょくどう/寝室/しんしつ
子宮	胎盤/たいばん/卵管/たまごかん/子宮内膜/しきゅうないまく/子宮_内膜/しきゅう_ないまく/子宮頸/しきゅうけい
テーブル	足/あし/脚部/きゃくぶ/脚/表面/ひょうめん
刑務所	 監房/かんぼう/独居房/どくきょぼう/独居室/どくきょしつ/独房/どくぼう/独居監房/どくきょかんぼう/檻/らん/檻房/らんぼう
教室	机/つくえ/椅子/いす/窓/まど/黒板/こくばん
寿司	シャリ/ネタ/ワサビ/わさび
ジュエリー	宝玉/たからだま/宝珠/たからしゅ/宝石/ほうせき/ジェムストーン/ジェム
港湾	錨地/びょうち/ドック/停泊地/ていはくち
コップ	取っ手/とって
櫛	歯/は
漢字	部首/ぶしゅ/へん/づくり/線/せん
銃	銃床/じゅうとこ/エジェクションポート/エジェクションポート/エジェクション_ポート/エジェクション_ポート/マガジン/弾倉/だんくら/消炎器/しょうほのおうつわ/ボルトフォワードアシスト/コッキングレバー/リアサイト/セイフティー
鹿	尻尾/しっぽ/鹿茸/しかたけ/鹿角/かづの
ドレス	身頃/みごろ/ボディス/ヘムライン/ファスナー/ジッパー/チャック
誌	 篇/へん/バース/詩句/しく/韻文/いんぶん/脚韻/あしいん/韻/いん/ライム
バー	カウンター/スタンドバー/トイレ/スナック
英語	シーン/カット/ショット/セリフ/字幕/じまく/吹き替え/ふきかえ/話/はなし
ピアノ	キーボード/鍵盤/けんばん/鍵盤楽器/けんばんがっき/共鳴板/きょうめいばん/ペダル
シャツ	ランブルシート/シャツの胸部/シャツのきょうぶ/シャツ_の_胸部/シャツ_の_きょうぶ/袖/そで/ボタン
階段	ステップ/段/だん/踊り場/おどりば/踊場/ようば/踏段/とうだん/踏板/とういた/踏み段/ふみだん/踏み板/ふみいた
胴体	おなか/土手腹/どてはら/臍下/へそした/下腹/かふく/太腹/ふとっぱら/土手っ腹/どてっはら/御中/おんちゅう/お腹/おはら/お中/腹/はら/腹部/ふくぶ/下腹部/かふくぶ/下っ腹/くだっはら/胴/どう/御腹/脊/せき/背/せ/後ろ/うしろ/背部/はいぶ/背中/せなか/尻桁/しりけた/尻/しり/御尻/おしり/尻臀/しりでん/お尻/臀/でん/臀部/でんぶ/どんけつ/御居処/おきょところ/ヒップ/おいど/横隔膜/おうかくまく/腰臀部/こしでんぶ/臀部/腰/こし/胴中/どうなか/鋸筋/のこぎりすじ/肩部/かたぶ/ショルダー/肩口/かたぐち/肩先/かたさき/肩/かた/肩関節/かたかんせつ/胸倉/むねくら/胸板/むねいた/胸糞/むねふん/胸部/きょうぶ/胸郭/きょうかく/チェスト/胸座/むねざ/ブレスト/胸先/むなさき/胸元/むなもと/胸腔/むねこう/胸間/むねかん/胴回り/どうまわり/細腰/さいこし/腰/お腰/おこし/ウエストライン/ウェスト/ウエスト/ウェストライン/胴/腰部/こしぶ/側腹/がわはら/横っ腹/よこっはら/横腹/よこばら
ギター	ペグ/弦/げん/ネック/ボディー
ケーキ	小麦粉/こむぎこ/砂糖/さとう/卵/たまご/クリーム
駅	入口/いりぐち/改札/かいさつ/ホーム/切符売り場/きっぷうりば/切符_売り場/きっぷ_うりば
鍋	取っ手/とって/蓋/ふた
時計	芯/しん/文字盤/もじばん/フュージドライブ/ムーブメント
ジャケット	ポケット/袖/そで/ファスナー
馬	蹄/ひづめ/たてがみ/馬の背/うまのせ
頭	耳/みみ/髪の毛/かみのけ/首/くび/顔/かお/額/ひたい
着物	帯/おび/袖/そで/襟/えり/肌着
家	壁/かべ/窓/まど/玄関/げんかん/バルコニー/屋根/やね
