赤ちゃん	赤ん坊/あかんぼう/ベビー/あかちゃん
椅子	チェア/腰掛け/こしかけ
忙しい	慌ただしい/あわただしい/多忙/たぼう/いそがしい
岩	岩石/がんせき/石/いし/大石/おおいし/いわ
言う	述べる/のべる/おっしゃる/しゃべる/話す/いう
お母さん	母/はは/母親/ははおや/母ちゃん/かあちゃん/ママ/おかあさん
夫	旦那/だんな/主人/しゅじん/亭主/ていしゅ/おっと
お父さん	父/ちち/父親/ちちおや/父ちゃん/とうちゃん/パパ/おとうさん
男	男性/だんせい/男子/だんし/おとこ
女	女性/じょせい/女子/じょし/婦人/ふじん/おんな
同じ	同様/どうよう/同一/どういつ/おなじ
会計	勘定/かんじょう/精算/せいさん/愛想/あいそう/かいけい
買う	購入/こうにゅう/買い求める/かいもとめる/かう
顔	フェイス/面/めん/かお/フェース/人面/じんめん
会社	企業/きぎょう/コーポレーション/かいしゃ
賢い	賢明/けんめい/鋭い/するどい/かたい
学生	生徒/せいと/教え子/おしえご/弟子/でし/がくせい
きのこ	マッシュルーム/キノコ/茸/たけ
企業	商業/しょうぎょう/ビジネス/きぎょう/商業/しょうぎょう
規定	決まり/きまり/約束/やくそく/きてい/基準/きじゅん/レギューション/条項/じょうこう
車	自動車/じどうしゃ/カー/車両/しゃりょう/くるま
検討	考慮/こうりょ/けんとう/考察/こうさつ/論考/ろんこう
ゲーム	遊戯/ゆうぎ/遊び/あそび
現代	現在/げんざい/今日/きょう/げんだい/近代/きんだい
米	コメ/シャリ/ご飯/ごめし/白米/はくまい/こめ/コメ
殺人	殺害/さつがい/人殺し/ひとごろし/殺し/ころし/さつじん
砂糖	シュガー/甘料/さとう
市場	マーケット/しじょう
仕事	勤務/きんむ/業務/ぎょうむ/実務/じつむ/職務/しょくむ/しごと
死ぬ	死亡/しぼう/亡く/なく/逝く/いく/しぬ/亡くなり/なくなる/亡くなる/亡くなっ
自転車	サイクル/ちゃり/ちゃりんこ/じてんしゃ
食事	飯/めし/ご飯/ごめし/しょくじ
修正	修理/しゅうり/リペア/しゅうせい
先生	教師/きょうし/教員/きょういん/せんせい
タスク	課題/かだい/プロジェクト/任務/にんむ
食べる	召し上がる/めしあがる/いただく/たべる
机	テーブル/デスク/こたつ/つくえ
妻	奥さん/おくさん/家内/かない/カミさん/女房/にょうぼう/つま
手洗い	トレイ/便所/べんじょ/洗面所/せんめんじょ/てあらい/お手洗い/おてあらい
電話	テレホン/携帯電話/けいたいでんわ/でんわ
チーム	組/くみ/班/はん/グルプ/団/だん/団体/だんたい/クラブ
布	生地/きじ/クロス/ぬの
猫	キャット/ニャンニャン/にゃんこ/にゃんにゃん/ねんねこ/ニャンちゃん/ネコ/ねこ
飲み物	飲料/いんりょう/飲物/のみもの
花	華/はな/フラワー/はな
犯人	犯罪者/はんざいしゃ/犯罪人/はんざいにん/はんにん/実行犯/じっこうはん
飛行機	航空機/こうくうき/エアプレイン/ひこうき
勉強	勉学/べんがく/学習/がくしゅう/べんきょう
両親	親/おや/父母/ふぼ/りょうしん
野菜	ベジタブル/ベジ/やさい/ヤサイ
