可	不可/ふか/無能/むのう/不可能/ふかのう/無理/むり
豊富	不足/ふそく/欠乏/けつぼう/けち/稀有/けう/乏しい/とぼしい/不十分/ふじゅうぶん/不充分
意識	無意識/むいしき/無感覚/むかんかく/無知/むち/無関心/むかんしん/没頭/ぼっとう
きれい	醜い/みにくい/不細工/ぶさいく/見苦しい/みぐるしい/無器量/むきりょう/醜悪/しゅうあく/醜怪/しゅうかい/格好悪い/かっこうわるい/格好_悪い/かっこう_わるい/みっともない
大きい	小さい/ちいさい/ちび/ちっちゃい/小ちゃい/しょうちゃい/細かい/こまかい/ささやか/微微たる/びびたる/小型/こがた/小サイズ/しょうサイズ
明るい	暗い/くらい/青い/あおい/薄黒い/はくくろい/真っ黒
安い	高い/たかい/高額/こうがく/割高/わりだか/高価/こうか/高級/こうきゅう
暑い	冷たい/つめたい/寒い/さむい/寒冷/かんれい/冷寒/れいかん/御寒い/おさむい/お寒い ,/おさむい,
泣く	微笑む/ほほえむ/笑う/わらう/爆笑/ばくしょう
元気	疾病/しっぺい/二豎/にじゅ/患い/わずらい/病み煩い/やみわずらい/病患/びょうかん/病/びょう/病魔/びょうま/病煩/びょうはん/もの病み/ものやみ/物病み/所労/ところろう/患/かん/疾患/しっかん/病み患い/物病病気/ものびょうびょうき/重病/じゅうびょう
金持ち	貧しい/まずしい/貧乏/びんぼう/貧弱/ひんじゃく/微微たる/びびたる/微々たる/貧小/びんしょう
嬉しい	悲しい/かなしい/物悲しい/ものかなしい/辛い/つらい/つらい/痛い/いたい/心苦しい/こころぐるしい/切ない/せつない/心憂い/こころうれい
青白い	焼けた/やけた/日焼け/ひやけ
うるさい	静か/しずか/森閑とした/しんかんとした/静黙/せいもく/静粛/せいしゅく/粛然たる/しゅくぜんたる/閑靜/かんせい/閑か/閑静/静寂/せいじゃく/寂たる/じゃくたる/寂寂たる/じゃくじゃくたる/密やか/みつやか/粛たる/しゅくたる/粛然/しゅくぜん/沈黙/ちんもく
乾燥	湿っぽい/しめっぽい/多湿/たしつ/しとしと/湿った/しめった/びたびた/ずくずく/しめっぽい/びしょびしょ/ぐじゃぐじゃ/雨勝/あめかち/雨勝ち/ぐしゃぐしゃ
清潔	汚い/きたない/薄汚ない/はくきたない/不潔/ふけつ/薄ぎたない/はくぎたない/垢臭い/あかくさい/うす汚い/うすきたない/薄汚い/うすぎたない/汚れている/よごれている
白	黒/くろ/薄黒い/はくくろい/真っ黒/まっくろ
固い	柔らかい/やわらかい/柔か/やわらかか/ふかふかした/緩い/ゆるい/やわい/軟調/なんちょう/温柔/おんじゅう/閑やか/ひまやか/やわ/ふにゃふにゃ/柔かい/やわらかかい/軟らかい軟弱/やはらかいなんじゃく/柔/じゅう/軟か/なんか/柔らか/やわらか/柔い/やはい/やっこい/ちょろい/軟かい/なんかい/やりこい/ソフト/軟らか/やはらか/滑らか/なめらか/マイルド
甘い	辛い/つらい/中辛/ちゅうから/ピリッとする/ピリリとする/辛味がある/しんあじがある/辛味のある/しんあじのある/ピリ辛/ピリしん/ピリ辛な/ピリしんな/刺激性のある/しげきせいのある/刺激的な/しげきてきな/刺激性の/しげきせいの/ピリピリとする/ヒリヒリする/スパイシー/激辛/げきから
美味しい	不味い/まずい/マズい/味が悪い/あじがわるい/激マズ/げきマズ/味がない/あじがない/味が無い/味気ない/あじけない/味気無い/口に合わない/くちにあわない/お口に合わない/おくちにあわない
几帳面	大雑把/おおざっぱ/おおざっぱ/いいかげん/出任せ与太/しゅつまかせよた/出ほうだい/しゅつほうだい/徒おろそか/とおろそか/出たら目/でたらめ/あだ疎か/あだうとか/ちゃらんぽらん/無責任/むせきにん/好いかげん/よいかげん/でたらめ/いい加減/好い加減/徒疎か/とうとか
社交的	内向的/ないこうてき/非社交的/ひしゃこうてき/無愛想/ぶあいそう
近い	遠い/とおい/悠遠/ゆうえん/遥/はるか/遼遠/りょうえん/遠遠しい/えんとおしい/はるか/遠々しい/えん々しい/遥か
一般	珍しい/めずらしい/珍/ちん/特殊/とくしゅ/異相/いそう/特異性/とくいせい/特異/とくい/異常/いじょう/ひと癖/ひとくせ/風変わり/かぜかわり/一癖/いちくせ/奇矯 /ききょう/風変り/ふうがわり/奇妙/きみょう/ユーニック
簡単	難しい/むずかしい/ややっこしい/複雑/ふくざつ/厄介/やっかい/煩わしい/わずらわしい/めんど臭い/めんどくさい/面倒くさい/めんどうくさい
危険	危なげない/あぶなげない/安全/あんぜん/堅実/けんじつ/手堅い/てがたい/セキュア/確か/たしか/堅い/かたい/慥か/ぞうか
若い	シニア/目上/めうえ/長上/ちょうじょう/上長/じょうちょう/年長者/ねんちょうしゃ/上/うえ/先輩/せんぱい/年かさ/ねんかさ/年嵩/年がしら/ねんがしら/年長/ねんちょう/高齢者/こうれいしゃ
強い	弱い/よわい/か細い/かこまい/か弱い/かよわい/ひ弱/ひじゃく/柔弱/じゅうじゃく/羸弱/るいじゃく/弱々しい/よわよわしい/惰弱/だじゃく/虚弱/きょじゃく/脆弱/ぜいじゃく/弱弱しい/じゃくよわしい/懦弱/るい弱/脆い/もろい
革新	保守/ほしゅ/維持/いじ/保つ/たもつ/持する/じする/保する/ほする/続ける/つづける/退嬰的/たいえいてき
優しい	厳しい/きびしい/厳格/げんかく/厳峻/げんしゅん/手厳しい/てきびしい/峻厳/しゅんげん/冷厳/れいげん/峻峭/しゅんしょう/酷しい/こくしい/厳たる/げんたる/儼たる/酷しい/厳重/げんじゅう
