後	前/まえ/先/さき
出口	入り口/いりぐち/入口
中	外/そと
以前	以降/いこう
本当	嘘/うそ/偽り/いつわり
上がる	下がる/さがる/下りる/おりる/下る/くだる
減る	増える/ふえる/増加する/ぞうかする/増加_する/ぞうか_する
西	東/ひがし
北	南/みなみ
右	左/ひだり
寒い	暑い/あつい/暖かい/温かい/あたたかい
上	下/した
オン	オフ
安い	高い/たかい/高価/こうか
低い	高い/たかい
前	後ろ/うしろ/後/あと/次/つぎ
落とす	拾う/ひろう/拾い上げる/ひろいあげる
死ぬ	生まれる/うまれる/生きる/いきる
最初	最後/さいご/終わり/おわり
進む	退く/しりぞく/去る/さる
優しい	冷たい/つめたい/厳しい/きびしい
捨てる	拾う/ひろう/取る/とる
死者	生者/せいしゃ/生存者/せいぞんしゃ
最高	最低/さいてい/最悪/さいあく
質問	答え/こたえ/回答/かいとう
寝る	起きる/おきる
内	外/そと/表/おもて
右手	左手/ひだりて
大人	子供/こども/小人/こびと
大きい	小さい/ちいさい
簡単	複雑/ふくざつ/難しい/むずかしい
アイス	ホット
会う	別れる/わかれる
圧力	張力/ちょうりょく
前回	次回/じかい/今回/こんかい
あなた	私/わたし
集める	配る/くばる/散らす/ちらす
暗黒	光明/こうみょう
無限	有限/ゆうげん
留守	在宅/ざいたく
もらう	遣る/やる/上げる/あげる
冷凍	解凍/かいとう
落選	当選/とうせん/入選/にゅうせん
動く	止まる/とまる
伸ばす	縮める/ちぢめる
納入	徴収/ちょうしゅう
偽	真/まこと
熱愛	憎悪/ぞうお
値上げ	値下げ/ねさげ
裏	表
